mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	2.0	0	0	2/4	2	1		A.I{		A	I		I		I						{	M	0	0	0, 4, 1		0	0
2	2	2	2.0	0	0	2/4	2	1		IV64		A	I		IV64		IV		64					M	0	0	0, -1, 3		-1	0
3	3	4	1.0	0	0	2/4	2	1		I6		A	I		I6		I		6					M	0	0	4, 1, 0		0	4
3	3	5	1.0	1/4	1/4	2/4	2	1		ii		A	I		ii		ii							m	0	0	2, -1, 3		2	2
4	4	6	0.5	0	0	2/4	2	1		I		A	I		I		I							M	0	0	0, 4, 1		0	0
4	4	13/2	0.5	1/8	1/8	2/4	2	1		I6		A	I		I6		I		6					M	0	0	4, 1, 0		0	4
4	4	7	0.5	1/4	1/4	2/4	2	1		V6		A	I		V6		V		6					M	0	0	5, 2, 1		1	5
4	4	15/2	0.5	3/8	3/8	2/4	2	1		V7		A	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	5	8	0.5	0	0	2/4	2	1		I		A	I		I		I							M	0	0	0, 4, 1		0	0
5	5	17/2	0.5	1/8	1/8	2/4	2	1		I6		A	I		I6		I		6					M	0	0	4, 1, 0		0	4
5	5	9	0.5	1/4	1/4	2/4	2	1		V6		A	I		V6		V		6					M	0	0	5, 2, 1		1	5
5	5	19/2	0.5	3/8	3/8	2/4	2	1		V7		A	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	6	10	0.5	0	0	2/4	2	1		I		A	I		I		I							M	0	0	0, 4, 1		0	0
6	6	21/2	1.0	1/8	1/8	2/4	2	1		IV		A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
6	6	23/2	0.5	3/8	3/8	2/4	2	1		I6		A	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	7	12	1.0	0	0	2/4	2	1		ii7(4)	viio6(62)	A	I		ii7(4)		ii		7	4				mm7	0	0	2, 1, 3, 0		2	2
7	7	13	3.0	1/4	1/4	2/4	2	1		I|IAC}		A	I		I		I					IAC	}	M	0	0	0, 4, 1		0	0
8	8	14	0.0	0	0	2/4	2	1		{		A	I										{		0	0				
9	9	16	2.0	0	0	2/4	2	1		V2/V		A	I		V2/V		V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
10	10	18	2.0	0	0	2/4	2	1		v6		A	I		v6		v		6					m	0	0	-2, 2, 1		1	-2
11	11	20	2.0	0	0	2/4	2	1		V2/IV		A	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
12	12	22	3.0	0	0	2/4	2	1		iv6		A	I		iv6		iv		6					m	0	0	-4, 0, -1		-1	-4
13	13	25	1.0	1/4	1/4	2/4	2	1		Ger65		A	I		Ger65	Ger	vii	o	65	b3	V			Ger	0	0	-4, 0, -3, 6		6	-4
14	14	26	1.5	0	0	2/4	2	1		V		A	I		V		V							M	0	0	1, 5, 2		1	1
