mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2.0	0	0	2/4	2	1		f.i{	f	i		i		i						{	m	1	1	0, -3, 1		0	0
2	2	2	2	1.0	0	0	2/4	2	1		V65	f	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
2	2	3	3	1.0	1/4	1/4	2/4	2	1		i	f	i		i		i							m	1	1	0, -3, 1		0	0
3	3	4	4	1.0	0	0	2/4	2	1		VII6	f	i		VII6		VII		6					M	1	1	2, -1, -2		-2	2
3	3	5	5	1.0	1/4	1/4	2/4	2	1		VI6	f	i		VI6		VI		6					M	1	1	0, -3, -4		-4	0
4	4	6	6	1.5	0	0	2/4	2	1		V65	f	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
4	4	15/2	15/2	0.5	3/8	3/8	2/4	2	1		VI6	f	i		VI6		VI		6					M	1	1	0, -3, -4		-4	0
5	5	8	8	1.0	0	0	2/4	2	1		vo6	f	i		vo6		v	o	6					o	1	1	-2, -5, 1		1	-2
5	5	9	9	1.0	1/4	1/4	2/4	2	1		iv6	f	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
6	6	10	10	1.0	0	0	2/4	2	1		III6	f	i		III6		III		6					M	1	1	1, -2, -3		-3	1
6	6	11	11	1.0	1/4	1/4	2/4	2	1		iio6	f	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
7	7	12	12	1.0	0	0	2/4	2	1		i6	f	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
7	7	13	13	0.5	1/4	1/4	2/4	2	1		iv	f	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
7	7	27/2	27/2	0.5	3/8	3/8	2/4	2	1		iio6	f	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
8	8	14	14	1.0	0	0	2/4	2	1		V(64)}	f	i		V(64)		V			64			}	M	1	1	1, 0, -3		1	1
8	8	15	15	1.0	1/4	1/4	2/4	2	1		V|HC	f	i		V		V					HC		M	1	1	1, 5, 2		1	1
9	9	16	16	2.0	0	0	2/4	2	1		i{	f	i		i		i						{	m	1	1	0, -3, 1		0	0
10	10	18	18	1.0	0	0	2/4	2	1		V65	f	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
10	10	19	19	1.0	1/4	1/4	2/4	2	1		i	f	i		i		i							m	1	1	0, -3, 1		0	0
11	11	20	20	1.0	0	0	2/4	2	1		iv6/iv	f	i		iv6/iv		iv		6		iv			m	1	1	-5, -1, -2		-2	-5
