mc	mn	quarterbeats	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	slur
1	1	0	0.0		0	0	Tempo	2/4	1	1	0									Аllegretto	112	
1	1	0	0.0		0	0	StaffText	2/4	1	1	0								ten.			
1	1	0	0.0		0	0	Tempo	2/4	1	1	0									 = 74	74	
1	1	0	1.0		0	0	Chord	2/4	1	1	1/4			1/4	1	0						
1	1	1	0.125		1/4	1/4	Chord	2/4	1	1	1/32			1/32	1	1						
1	1	9/8	0.375		9/32	9/32	Chord	2/4	1	1	3/32			1/16	3/2	2						
1	1	3/2	0.125		3/8	3/8	Chord	2/4	1	1	1/32			1/32	1	3						
1	1	13/8	0.375		13/32	13/32	Chord	2/4	1	1	3/32			1/16	3/2	4						
1	1	1/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	5						
1	1	1	0.5		1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	6						
1	1	3/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	7						
2	2	2	0.125		0	0	Chord	2/4	1	1	1/32			1/32	1	8						
2	2	17/8	0.375		1/32	1/32	Chord	2/4	1	1	3/32			1/16	3/2	9						
2	2	5/2	0.125		1/8	1/8	Chord	2/4	1	1	1/32			1/32	1	10		ornamentShortTrill				
2	2	21/8	0.375		5/32	5/32	Chord	2/4	1	1	3/32			1/16	3/2	11						
2	2	3	0.25		1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	12						0
2	2	13/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	13						
2	2	7/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	14						1
2	2	15/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	15						
2	2	2	0.5		0	0	Chord	2/4	2	1	1/8			1/8	1	16						
2	2	5/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	17						
2	2	3	0.5		1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	18						
3	3	4	0.0		0	0	StaffText	2/4	1	1	0								ten.			
3	3	4	0.0		0	0	Dynamic	2/4	1	1	0						p					
3	3	4	1.0		0	0	Chord	2/4	1	1	1/4			1/4	1	19						
3	3	5	0.125		1/4	1/4	Chord	2/4	1	1	1/32			1/32	1	20						
3	3	41/8	0.375		9/32	9/32	Chord	2/4	1	1	3/32			1/16	3/2	21						
3	3	11/2	0.125		3/8	3/8	Chord	2/4	1	1	1/32			1/32	1	22						
3	3	45/8	0.375		13/32	13/32	Chord	2/4	1	1	3/32			1/16	3/2	23						
3	3	9/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	24						
3	3	5	0.5		1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	25						
3	3	11/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	26						
4	4	6	0.125		0	0	Chord	2/4	1	1	1/32			1/32	1	27						
4	4	49/8	0.375		1/32	1/32	Chord	2/4	1	1	3/32			1/16	3/2	28						
4	4	13/2	0.125		1/8	1/8	Chord	2/4	1	1	1/32			1/32	1	29		ornamentShortTrill				
4	4	53/8	0.375		5/32	5/32	Chord	2/4	1	1	3/32			1/16	3/2	30						
4	4	7	0.25		1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	31						2
4	4	29/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	32						
4	4	15/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	33						3
4	4	31/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	34						
4	4	6	0.5		0	0	Chord	2/4	2	1	1/8			1/8	1	35						
4	4	13/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	36						
4	4	7	0.5		1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	37						
5	5	8	0.0		0	0	Dynamic	2/4	1	1	0						f					
5	5	8	0.75		0	0	Chord	2/4	1	1	3/16			1/8	3/2	38						4
5	5	35/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	39						
5	5	9	0.25		1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	40						5
5	5	37/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	41						5
5	5	19/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	42						5
5	5	39/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	43						
5	5	33/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16			1/16	1	44						6
5	5	17/2	0.5		1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	45						
