mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	slur
4	4	25/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	31						
4	4	13/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	32						
4	4	7	0.0	1/4	1/4	Dynamic	2/4	1	1	0						f					
4	4	7	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	33						
4	4	29/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	34						7
4	4	15/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	35						7
4	4	31/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	36						
4	4	13/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8			1/8	1	37						
4	4	7	0.5	1/4	1/4	Chord	2/4	1	2	1/8			1/8	1	38						
4	4	15/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8			1/8	1	39						
5	5	8	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	40						8
5	5	33/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	41						
5	5	35/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	42						
5	5	9	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	43						9
5	5	19/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	44		ornamentShortTrill				
5	5	17/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8			1/8	1	45						
5	5	19/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8			1/8	1	46						
6	6	10	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	47						
6	6	41/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32			1/32	1	48						
6	6	83/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32			1/32	1	49						
6	6	21/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32			1/32	1	50						
6	6	85/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32			1/32	1	51						
6	6	43/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32			1/32	1	52						
6	6	87/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	53						
6	6	11	0.125	1/4	1/4	Chord	2/4	1	1	1/32			1/32	1	54						
6	6	89/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32			1/32	1	55						
6	6	45/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32			1/32	1	56						
6	6	91/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32			1/32	1	57						
6	6	23/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32			1/32	1	58						
6	6	93/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32			1/32	1	59						
6	6	47/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32			1/32	1	60						
6	6	95/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	61						
6	6	10	1.0	0	0	Chord	2/4	1	2	1/4			1/4	1	62		articStaccatissimoBelow				
7	7	49/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32			1/32	1	63						
7	7	99/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32			1/32	1	64						
7	7	25/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	65		articStaccatissimoAbove				
7	7	51/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	66		articStaccatissimoAbove				
7	7	53/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	67						
7	7	55/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	68						
7	7	12	1.0	0	0	Chord	2/4	1	2	1/4			1/4	1	69						
7	7	13	0.5	1/4	1/4	Chord	2/4	1	2	1/8			1/8	1	70						
7	7	27/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8			1/8	1	71						
7	7	13	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	72						
7	7	27/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	73						
8	8	14	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	74						10
8	8	15	1.0	1/4	1/4	Chord	2/4	1	1	1/4			1/4	1	75		ornamentTurn				
8	8	14	1.0	0	0	Chord	2/4	1	2	1/4			1/4	1	76						11
8	8	15	1.0	1/4	1/4	Chord	2/4	1	2	1/4			1/4	1	77						
8	8	14	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	78						
9	9	16	0.0	0	0	Dynamic	2/4	1	1	0						p					
9	9	129/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32			1/32	1	79						
9	9	65/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32			1/32	1	80						
9	9	131/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32			1/32	1	81						
9	9	133/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32			1/32	1	82						
9	9	67/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32			1/32	1	83						
9	9	135/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	84						
9	9	137/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32			1/32	1	85						
9	9	69/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32			1/32	1	86						
9	9	139/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32			1/32	1	87						
9	9	141/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32			1/32	1	88						
9	9	71/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32			1/32	1	89						
9	9	143/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	90						
9	9	16	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	91						
9	9	33/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	92						
9	9	17	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	93						
9	9	35/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	94						
10	10	145/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32			1/32	1	95						
10	10	73/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32			1/32	1	96						
10	10	147/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32			1/32	1	97						
10	10	149/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32			1/32	1	98						
10	10	75/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32			1/32	1	99						
10	10	151/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	100						
10	10	19	0.0	1/4	1/4	Dynamic	2/4	1	1	0						f					
10	10	153/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32			1/32	1	101						
10	10	77/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32			1/32	1	102						
10	10	155/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32			1/32	1	103						
10	10	157/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32			1/32	1	104						
10	10	79/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32			1/32	1	105						
10	10	159/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	106						
10	10	18	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	107						
10	10	37/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	108						
10	10	19	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	109						
10	10	39/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	110						
11	11	161/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32			1/32	1	111						
11	11	81/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32			1/32	1	112						
11	11	163/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32			1/32	1	113						
11	11	165/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32			1/32	1	114						
11	11	83/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32			1/32	1	115						
11	11	167/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	116						
11	11	169/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32			1/32	1	117						
11	11	85/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32			1/32	1	118						
11	11	171/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32			1/32	1	119						
11	11	173/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32			1/32	1	120						
11	11	87/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32			1/32	1	121						
11	11	175/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	122						
11	11	20	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	123						
11	11	41/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	124						
11	11	21	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	125						
11	11	43/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	126						
12	12	177/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32			1/32	1	127						
12	12	89/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32			1/32	1	128						
12	12	179/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32			1/32	1	129						
12	12	181/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32			1/32	1	130						
12	12	91/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32			1/32	1	131						
12	12	183/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	132						
12	12	185/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32			1/32	1	133						
12	12	93/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32			1/32	1	134						
12	12	187/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32			1/32	1	135						
12	12	189/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32			1/32	1	136						
12	12	95/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32			1/32	1	137						
12	12	191/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	138						
12	12	22	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	139						
12	12	45/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	140						
12	12	23	0.0	1/4	1/4	Dynamic	2/4	2	1	0						p					
12	12	23	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	141						
12	12	47/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	142						
13	13	193/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32			1/32	1	143						
13	13	97/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32			1/32	1	144						
13	13	195/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32			1/32	1	145						
13	13	197/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32			1/32	1	146						
13	13	99/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32			1/32	1	147						
13	13	199/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	148						
13	13	201/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32			1/32	1	149						
13	13	101/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32			1/32	1	150						
13	13	203/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32			1/32	1	151						
13	13	205/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32			1/32	1	152						
13	13	103/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32			1/32	1	153						
13	13	207/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	154						
13	13	24	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	155						
13	13	49/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	156						
13	13	25	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	157						
13	13	51/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	158						
14	14	209/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32			1/32	1	159						
14	14	105/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32			1/32	1	160						
14	14	211/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32			1/32	1	161						
14	14	213/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32			1/32	1	162						
14	14	107/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32			1/32	1	163						
14	14	215/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	164						
14	14	217/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32			1/32	1	165						
14	14	109/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32			1/32	1	166						
14	14	219/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32			1/32	1	167						
14	14	221/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32			1/32	1	168						
14	14	111/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32			1/32	1	169						
14	14	223/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	170						
14	14	26	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	171						
14	14	53/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	172						
14	14	27	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	173						
14	14	55/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	174						
15	15	28	0.0	0	0	Dynamic	2/4	1	1	0						f					
15	15	225/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32			1/32	1	175						
15	15	113/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32			1/32	1	176						
15	15	227/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32			1/32	1	177						
15	15	229/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32			1/32	1	178						
15	15	115/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32			1/32	1	179						
15	15	231/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	180						
15	15	233/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32			1/32	1	181						
15	15	117/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32			1/32	1	182						
15	15	235/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32			1/32	1	183						
15	15	237/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32			1/32	1	184						
15	15	119/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32			1/32	1	185						
15	15	239/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	186						
15	15	28	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	187						
15	15	57/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	188						
15	15	29	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	189						
15	15	59/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	190						
16	16	241/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32			1/32	1	191						
16	16	121/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32			1/32	1	192						
16	16	243/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32			1/32	1	193						
16	16	245/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32			1/32	1	194						
16	16	123/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32			1/32	1	195						
16	16	247/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	196						
16	16	249/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32			1/32	1	197						
16	16	125/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32			1/32	1	198						
16	16	251/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32			1/32	1	199						
16	16	253/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32			1/32	1	200						
16	16	127/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32			1/32	1	201						
16	16	255/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	202						
16	16	30	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	203						
16	16	61/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	204						
16	16	31	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	205						
16	16	63/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	206						
17	17	257/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32			1/32	1	207						
17	17	129/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32			1/32	1	208						
17	17	259/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32			1/32	1	209						
17	17	261/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32			1/32	1	210						
17	17	131/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32			1/32	1	211						
17	17	263/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	212						
17	17	265/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32			1/32	1	213						
17	17	133/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32			1/32	1	214						
17	17	267/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32			1/32	1	215						
17	17	269/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32			1/32	1	216						
17	17	135/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32			1/32	1	217						
17	17	271/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32			1/32	1	218						
17	17	32	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	219						
17	17	65/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	220						
17	17	33	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	221						
17	17	67/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	222						
18	18	137/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32			1/32	1	223						
18	18	275/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32			1/32	1	224						
18	18	69/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	225		articStaccatissimoAbove				
18	18	139/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	226		articStaccatissimoAbove				
18	18	35	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	227		articStaccatissimoAbove				
18	18	141/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	228		articStaccatissimoAbove				
18	18	71/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	229		articStaccatissimoAbove				
18	18	143/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	230		articStaccatissimoAbove				
18	18	34	1.0	0	0	Chord	2/4	2	1	1/4			1/4	1	231						
18	18	71/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	232						
19	19	36	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	233						12
19	19	145/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	234						
19	19	147/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	235						
19	19	37	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	236						13
19	19	149/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	237						
19	19	151/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	238						
19	19	36	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	239						
19	19	73/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	240						
19	19	37	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	241						
19	19	75/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	242						
20	20	38	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	243						
20	20	77/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	244						14
20	20	155/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	245						
20	20	39	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	246						15
20	20	157/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	247						
20	20	79/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	248						16
20	20	159/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	249						
20	20	38	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	250						
21	21	40	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	251						17
21	21	161/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	252						
21	21	81/2	0.125	1/8	1/8	Chord	2/4	1	1	1/32			1/32	1	253						
21	21	325/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32			1/32	1	254						
21	21	163/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32			1/32	1	255						
21	21	327/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32			1/32	1	256						
21	21	41	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	257						18
21	21	83/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8			1/8	1	258		ornamentTrill				
21	21	81/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16			1/16	1	259						
21	21	163/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16			1/16	1	260						
21	21	41	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	261						
21	21	83/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	262						
22	22	42	1.0	0	0	Chord	2/4	1	1	1/4			1/4	1	263						
22	22	42	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	264						
22	22	85/2	0.375	1/8	1/8	Chord	2/4	2	1	3/32			1/16	3/2	265						
22	22	343/8	0.125	7/32	7/32	Chord	2/4	2	1	1/32			1/32	1	266						
22	22	43	1.0	1/4	1/4	Chord	2/4	2	1	1/4			1/4	1	267						
23	23	44	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	268						19
23	23	177/4	0.0	1/16	1/16	Dynamic	2/4	1	1	0						p					
23	23	177/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	269						
23	23	89/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	270						
23	23	45	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	271						
23	23	181/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	272						
23	23	91/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	273						20
23	23	183/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	274						
23	23	89/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	275						
23	23	45	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	276						
23	23	91/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	277						
24	24	46	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	278						21
24	24	185/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	279						21
24	24	93/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	280						21
24	24	187/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	281						
24	24	47	1.0	1/4	1/4	Chord	2/4	1	1	1/4			1/4	1	282						
24	24	93/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	283						
24	24	47	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	284						
24	24	95/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8			1/8	1	285						
25	25	48	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	286						22
25	25	193/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	287						
25	25	97/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	288						23
25	25	195/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	289						
25	25	49	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	290						24
25	25	197/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	291						
25	25	99/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	292						25
25	25	199/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	293						
25	25	48	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	294						
26	26	50	0.25	0	0	Chord	2/4	1	1	1/16			1/16	1	295						26
26	26	201/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16			1/16	1	296						
26	26	101/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16			1/16	1	297						27
26	26	203/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16			1/16	1	298						
26	26	51	0.0	1/4	1/4	StaffText	2/4	1	1	0								ten.			
26	26	51	1.0	1/4	1/4	Chord	2/4	1	1	1/4			1/4	1	299						
26	26	101/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	300						
